#chrom	chromStart	chromEnd	name	gieStain
chr1	0	8918386	qA1	gpos100
chr1	8918386	12386647	qA2	gneg
chr1	12386647	20314102	qA3	gpos33
chr1	20314102	22295965	qA4	gneg
chr1	22295965	31214352	qA5	gpos100
chr1	31214352	43601000	qB	gneg
chr1	43601000	54996715	qC1.1	gpos66
chr1	54996715	56483113	qC1.2	gneg
chr1	56483113	59951375	qC1.3	gpos75
chr1	59951375	65896965	qC2	gneg
chr1	65896965	75310818	qC3	gpos33
chr1	75310818	80760943	qC4	gneg
chr1	80760943	88192931	qC5	gpos33
chr1	88192931	100579579	qD	gneg
chr1	100579579	103552375	qE1.1	gpos33
chr1	103552375	104543306	qE1.2	gneg
chr1	104543306	113461693	qE2.1	gpos100
chr1	113461693	114948091	qE2.2	gneg
chr1	114948091	126839272	qE2.3	gpos100
chr1	126839272	129812068	qE3	gneg
chr1	129812068	140712318	qE4	gpos66
chr1	140712318	148639772	qF	gneg
chr1	148639772	153098966	qG1	gpos100
chr1	153098966	154089897	qG2	gneg
chr1	154089897	158549091	qG3	gpos100
chr1	158549091	161521886	qH1	gneg
chr1	161521886	165485613	qH2.1	gpos33
chr1	165485613	166972011	qH2.2	gneg
chr1	166972011	171431204	qH2.3	gpos33
chr1	171431204	177376795	qH3	gneg
chr1	177376795	183322386	qH4	gpos33
chr1	183322386	189763443	qH5	gneg
chr1	189763443	197195432	qH6	gpos33
chr2	0	14052687	qA1	gpos100
chr2	14052687	16394801	qA2	gneg
chr2	16394801	29042220	qA3	gpos33
chr2	29042220	48247559	qB	gneg
chr2	48247559	60426554	qC1.1	gpos100
chr2	60426554	60894977	qC1.2	gneg
chr2	60894977	68389744	qC1.3	gpos100
chr2	68389744	71668704	qC2	gneg
chr2	71668704	81037162	qC3	gpos66
chr2	81037162	88531928	qD	gneg
chr2	88531928	101179347	qE1	gpos100
chr2	101179347	104926730	qE2	gneg
chr2	104926730	112889920	qE3	gpos33
chr2	112889920	115700457	qE4	gneg
chr2	115700457	123663646	qE5	gpos66
chr2	123663646	131626836	qF1	gneg
chr2	131626836	134437373	qF2	gpos33
chr2	134437373	140995294	qF3	gneg
chr2	140995294	146616369	qG1	gpos100
chr2	146616369	147553214	qG2	gneg
chr2	147553214	152237444	qG3	gpos100
chr2	152237444	158795364	qH1	gneg
chr2	158795364	163011170	qH2	gpos33
chr2	163011170	173316474	qH3	gneg
chr2	173316474	181748087	qH4	gpos33
chr3	0	18490218	qA1	gpos100
chr3	18490218	20436557	qA2	gneg
chr3	20436557	35520683	qA3	gpos66
chr3	35520683	46712131	qB	gneg
chr3	46712131	56443825	qC	gpos100
chr3	56443825	60823088	qD	gneg
chr3	60823088	69581612	qE1	gpos33
chr3	69581612	72501120	qE2	gneg
chr3	72501120	83692569	qE3	gpos100
chr3	83692569	92937678	qF1	gneg
chr3	92937678	97316940	qF2.1	gpos33
chr3	97316940	106075465	qF2.2	gneg
chr3	106075465	108021804	qF2.3	gpos33
chr3	108021804	114833990	qF3	gneg
chr3	114833990	126512023	qG1	gpos100
chr3	126512023	128458361	qG2	gneg
chr3	128458361	138190056	qG3	gpos66
chr3	138190056	143542487	qH1	gneg
chr3	143542487	147921750	qH2	gpos33
chr3	147921750	153760766	qH3	gneg
chr3	153760766	159599783	qH4	gpos33
chr4	0	14799183	qA1	gpos100
chr4	14799183	17663541	qA2	gneg
chr4	17663541	28166187	qA3	gpos100
chr4	28166187	30075759	qA4	gneg
chr4	30075759	43442763	qA5	gpos66
chr4	43442763	51558444	qB1	gneg
chr4	51558444	54900195	qB2	gpos33
chr4	54900195	63015876	qB3	gneg
chr4	63015876	69221985	qC1	gpos33
chr4	69221985	71608950	qC2	gneg
chr4	71608950	83543776	qC3	gpos100
chr4	83543776	89272492	qC4	gneg
chr4	89272492	96910780	qC5	gpos66
chr4	96910780	105026461	qC6	gneg
chr4	105026461	110277784	qC7	gpos66
chr4	110277784	116961286	qD1	gneg
chr4	116961286	119825644	qD2.1	gpos33
chr4	119825644	130328290	qD2.2	gneg
chr4	130328290	133192648	qD2.3	gpos33
chr4	133192648	140830936	qD3	gneg
chr4	140830936	147037045	qE1	gpos100
chr4	147037045	155630120	qE2	gneg
chr5	0	14964098	qA1	gpos100
chr5	14964098	16412236	qA2	gneg
chr5	16412236	25583780	qA3	gpos66
chr5	25583780	33789899	qB1	gneg
chr5	33789899	35720750	qB2	gpos33
chr5	35720750	50684848	qB3	gneg
chr5	50684848	58890967	qC1	gpos33
chr5	58890967	61304531	qC2	gneg
chr5	61304531	71924213	qC3.1	gpos100
chr5	71924213	73855065	qC3.2	gneg
chr5	73855065	78199480	qC3.3	gpos66
chr5	78199480	82061183	qD	gneg
chr5	82061183	91715440	qE1	gpos100
chr5	91715440	94129004	qE2	gneg
chr5	94129004	99921558	qE3	gpos33
chr5	99921558	102335123	qE4	gneg
chr5	102335123	108127677	qE5	gpos33
chr5	108127677	125505339	qF	gneg
chr5	125505339	127436191	qG1.1	gpos33
chr5	127436191	128401616	qG1.2	gneg
chr5	128401616	131297893	qG1.3	gpos33
